Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
Children's Services,3393 Keele Street Child Care Centre,3393 Keele Street Child care Centre,0.00,0.00,200.00,600.00,1000.00,2000.00,2000.00,1160.00,0.00,0.00,6960.00,6.00,York Centre,Service Improvement and Enhancement
Children's Services,Alexandra Park Child Care Centre,Alexandra Park Child Care Centre,1000.00,1000.00,271.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2271.00,10.00,Spadina-Fort York,Service Improvement and Enhancement
Children's Services,Anishnawbe Miziwe Biik Child Care Centre,Anishnawbe Miziwe Biik Child Care Centre,0.00,1800.00,4614.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6414.00,13.00,Toronto Centre,Service Improvement and Enhancement
Children's Services,Bayside Child Care Centre,Bayside Child Care Centre,0.00,550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,550.00,10.00,Spadina-Fort York,Service Improvement and Enhancement
Children's Services,Bridletown Community Centre (Child Care Centre 6),Bridletown Community Centre (Child Care Centre 6),0.00,350.00,700.00,1400.00,1450.00,0.00,0.00,0.00,0.00,0.00,3900.00,22.00,Scarborough-Agincourt,Service Improvement and Enhancement
Children's Services,David and Mary Thomson (Child Care Centre 7),David and Mary Thomson (Child Care Centre 7),0.00,1300.00,1250.00,1250.00,1150.00,0.00,0.00,0.00,0.00,0.00,4950.00,21.00,Scarborough Centre,Service Improvement and Enhancement
Children's Services,EarlyON 150 Queens Wharf Road,EarlyON 150 Queen Wharf Road,0.00,0.00,200.00,500.00,1000.00,529.00,0.00,0.00,0.00,0.00,2229.00,10.00,Spadina-Fort York,Service Improvement and Enhancement
Children's Services,Gilder/Gilder Child Care Centre,Gilder/Gilder Satellite Child Care Centre,0.00,821.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,821.00,21.00,Scarborough Centre,Service Improvement and Enhancement
Children's Services,Lawrence Heights Community Day Care Centre (#14),Child Care Ctr #14 - Lawrence Heights Community,0.00,0.00,200.00,600.00,1000.00,2000.00,2000.00,1160.00,0.00,0.00,6960.00,8.00,Eglinton-Lawrence,Service Improvement and Enhancement
Children's Services,Mount Dennis Child Care Centre,Mount Dennis Additional Funding 2020,0.00,0.00,1830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1830.00,5.00,York South-Weston,Service Improvement and Enhancement
