category,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Total Population,115120,117200,139920,104715,115675,107355,111200,114820,104730,135400,102385,114095,116930,104555,101025,94335,112590,117130,108500,110095,111560,103690,94025,102755,101485
Total - Income statistics in 2020 for private households by household size - 25% sample data,38130,45345,65575,49440,45050,41270,37675,45915,45670,80735,53505,58110,68965,46235,40030,38285,45785,50555,45700,41905,40560,38350,29545,36245,32315
Average total income of households in 2020 ($),95200,146600,127200,127200,88700,107500,85700,176400,107300,118200,174800,160400,89400,130800,224800,100300,103800,106300,130600,102200,91500,93000,100000,92700,121800
Median total income of households in 2020 ($),81000,100000,90000,85000,72000,82000,73000,97000,85000,89000,84000,86000,65000,93000,102000,78500,84000,81000,89000,79000,78000,77000,87000,78000,105000
Total - Income statistics in 2020 for one-person private households - 25% sample data,7785,11105,24520,19625,12850,11095,8280,14090,14995,42205,24065,25500,37570,16025,11845,11695,12555,15970,14595,11655,10070,9200,4420,8655,5160
Average total income of one-person households in 2020 ($),45000,64600,67500,59200,42400,51160,38760,67900,56350,86200,83700,79200,61250,61200,83200,57400,60150,63050,56850,46880,45440,45840,47160,44360,52200
Median total income of one-person households in 2020 ($),35200,51200,51600,44800,32000,37200,29200,46000,41200,69000,48800,52400,42800,41600,54400,45200,48000,47600,41200,35200,37200,33600,35600,33600,40800
"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",17340,14780,28260,27835,23370,20735,19605,21395,22025,46885,30420,35680,48300,20855,19215,21340,19795,21210,20190,19170,17520,12975,6085,16320,6665
Average monthly shelter costs for rented dwellings ($),1328,1574,1592,1492,1196,1448,1261,1588,1552,1988,1976,1768,1520,1424,1716,1492,1754,1880,1370,1196,1338,1358,1408,1197,1362
% of tenant households spending 30% or more of its income on shelter costs,0.34,0.39,0.41,0.4,0.35,0.36,0.33,0.38,0.41,0.44,0.49,0.45,0.43,0.38,0.41,0.39,0.44,0.49,0.39,0.32,0.36,0.36,0.33,0.32,0.33
"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",20790,30560,37305,21610,21685,20535,18070,24515,23645,33845,23080,22430,20665,25380,20820,16945,25990,29340,25515,22735,23045,25370,23465,19925,25650
Average monthly shelter costs for owned dwellings ($),1664,1930,2108,2280,1660,1918,1622,2418,1910,2290,2592,2492,2172,2138,2968,1846,1904,2202,2168,1872,1668,1640,1636,1776,1802
% of owner households spending 30% or more of its income on shelter costs,0.24,0.19,0.25,0.2,0.22,0.25,0.24,0.2,0.22,0.35,0.3,0.25,0.35,0.18,0.22,0.26,0.31,0.38,0.18,0.23,0.26,0.32,0.29,0.25,0.21
Total - Low-income status in 2020 for the population in private households to whom low-income concepts are applicable - 25% sample data,115120,117200,139915,104715,115675,107355,111200,114820,104735,135400,102385,114100,116930,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
"In low income based on the Low-income measure, after-tax (LIM-AT)",14870,9215,15385,12510,17060,12350,16795,11650,11355,19100,15640,14305,26000,12000,12725,13620,16210,20895,12870,15350,14790,15265,11130,15060,7885
"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",0.13,0.08,0.11,0.12,0.15,0.12,0.15,0.1,0.11,0.14,0.15,0.13,0.22,0.12,0.13,0.14,0.14,0.18,0.12,0.14,0.13,0.15,0.12,0.15,0.08
