Ward Number,total_funding,Total Population,Total - Income statistics in 2020 for private households by household size - 25% sample data,Average total income of households in 2020 ($),Median total income of households in 2020 ($),Total - Income statistics in 2020 for one-person private households - 25% sample data,Average total income of one-person households in 2020 ($),Median total income of one-person households in 2020 ($),"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",Average monthly shelter costs for rented dwellings ($),% of tenant households spending 30% or more of its income on shelter costs,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",Average monthly shelter costs for owned dwellings ($),% of owner households spending 30% or more of its income on shelter costs,Total - Low-income status in 2020 for the population in private households to whom low-income concepts are applicable - 25% sample data,"In low income based on the Low-income measure, after-tax (LIM-AT)","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,Average total income in 2020 among recipients ($),Median total income in 2020 among recipients ($),Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Non-immigrants,Immigrants,Non-permanent residents,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2021 - 25% sample data,Economic immigrants,Principal applicants,Secondary applicants,Immigrants sponsored by family,Refugees,Other immigrants,Total - Mobility status 1 year ago - 25% sample data,Non-movers,Movers,Non-migrants,Migrants,Internal migrants,Intraprovincial migrants,Interprovincial migrants,External migrants,Total - Mobility status 5 years ago - 25% sample data,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree",High (secondary) school diploma or equivalency certificate,"Postsecondary certificate, diploma or degree",Bachelor’s degree or higher,Total - Visible minority for the population in private households - 25% sample data,Total visible minority population,South Asian,Chinese,Black,Filipino,Latin American,Arab,Southeast Asian,West Asian,Korean,Japanese,"Visible minority, n.i.e.",Multiple visible minorities,Not a visible minority,per_capita_funding,Bachelor’s degree or higher per capita,Total visible minority population per capita
13,897375200,116930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58605,,67145,,,,,,,,,,,,,,7674.465064568545,0.5011972975284358,0.5742324467630207
10,558810000,135400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82560,,70400,,,,,,,,,,,,,,4127.104874446086,0.6097488921713442,0.5199409158050221
2,488306000,117200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37540,,37210,,,,,,,,,,,,,,4166.433447098976,0.3203071672354949,0.3174914675767918
14,225860000,104555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40500,,35815,,,,,,,,,,,,,,2160.202764095452,0.38735593706661564,0.34254698484051455
23,171986000,94025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21660,,86675,,,,,,,,,,,,,,1829.1518213241159,0.2303642648231853,0.9218293007178942
11,167687000,102385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57405,,38445,,,,,,,,,,,,,,1637.8082726961957,0.560677833667041,0.3754944571958783
4,165785000,104715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45405,,30445,,,,,,,,,,,,,,1583.2020245428066,0.4336055006446068,0.2907415365515924
8,156448000,114820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45065,,42265,,,,,,,,,,,,,,1362.5500783835569,0.39248388782442084,0.3680978923532486
3,141324000,139920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54175,,48675,,,,,,,,,,,,,,1010.0343053173242,0.387185534591195,0.34787735849056606
21,138167000,111560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27210,,83025,,,,,,,,,,,,,,1238.4994621728217,0.24390462531373253,0.7442183578343492
16,114374000,94335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29065,,59525,,,,,,,,,,,,,,1212.4238087666295,0.3081040971007579,0.6309959188000211
9,101422000,104730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34340,,35215,,,,,,,,,,,,,,968.4140169960851,0.3278907667335052,0.3362455838823642
5,100293000,115675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17910,,67120,,,,,,,,,,,,,,867.0239896261077,0.15483034363518478,0.5802463799438081
7,94748000,111200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16310,,86975,,,,,,,,,,,,,,852.0503597122303,0.1466726618705036,0.7821492805755396
18,86969000,117130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57030,,83210,,,,,,,,,,,,,,742.4997865619397,0.48689490309912065,0.7104072398190046
25,84184400,101485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25270,,76755,,,,,,,,,,,,,,829.52554564714,0.2490023156131448,0.7563186677834163
19,81206000,108500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38480,,39225,,,,,,,,,,,,,,748.442396313364,0.35465437788018433,0.3615207373271889
20,76485000,110095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28980,,67555,,,,,,,,,,,,,,694.7181979199783,0.2632272128616195,0.6136064308097552
24,71064000,102755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25115,,78525,,,,,,,,,,,,,,691.5867840980974,0.24441633010559097,0.7641963894700988
12,68191000,114095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57100,,39925,,,,,,,,,,,,,,597.6686094920899,0.5004601428634033,0.3499276918357509
1,53763000,115120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22120,,90130,,,,,,,,,,,,,,467.0170257123002,0.19214732453092426,0.782922168172342
6,41883000,107355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30650,,56405,,,,,,,,,,,,,,390.13553164733827,0.2855013739462531,0.5254063620697685
17,29055000,112590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48980,,83870,,,,,,,,,,,,,,258.0602184918732,0.4350297539745981,0.7449151789679368
22,19954000,103690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28905,,85350,,,,,,,,,,,,,,192.43900086797183,0.27876362233580865,0.8231266274471983
15,17500000,101025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46220,,47415,,,,,,,,,,,,,,173.22444939371442,0.45751051719871316,0.46933927245731255
