Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR, EWMS,-66.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-66.00,CW,City Wide,State of Good Repair 
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,Implementing Artificial Intelligent - Pilot ,192.00,308.00, -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,State of Good Repair 
311 Toronto,311 TECHNOLOGY SOLUTION STATE OF GOOD REPAIR,SOGR - various,545.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1445.00,CW,City Wide,State of Good Repair 
Accountability Offices,Lobbyist Registry System SOGR,Lobbyist Registry System SOGR 2024, -   , -   ,350.00,350.00, -   , -   , -   , -   , -   , -   ,700.00,CW,City Wide,State of Good Repair 
Accountability Offices,Lobbyist Registry System SOGR,Lobbyist Registry System SOGR 2031 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,400.00,400.00,CW,City Wide,State of Good Repair 
Accountability Offices,OLR Investigation Case Management System,TLR Investigation Case Management Sys SOGR, -   , -   , -   , -   ,250.00, -   , -   , -   , -   , -   ,250.00,CW,City Wide,State of Good Repair 
Accountability Offices,Ombudsman Case Management System SOGR,Ombudsman Case Management System SOGR, -   , -   ,350.00,350.00, -   , -   , -   , -   , -   , -   ,700.00,CW,City Wide,State of Good Repair 
Accountability Offices,Ombudsman Case Management System SOGR,Omdudsman Case Management System SOGR 2031, -   , -   , -   , -   , -   , -   , -   , -   , -   ,400.00,400.00,CW,City Wide,State of Good Repair 
Chief Information Security Office,Corporate Planning & Management,Cyber Command Centre , -   , -   ,8777.00,8777.00, -   , -   , -   , -   , -   , -   ,17554.00,CW,City Wide,Service Improvement and Enhancement 
Chief Information Security Office,Corporate Planning & Management,Cyber Foundation,5990.00,715.00,645.00,645.00, -   , -   , -   , -   , -   , -   ,7995.00,CW,City Wide,Service Improvement and Enhancement 
Chief Information Security Office,Corporate Planning & Management,Digitization Support Services,1395.00,2125.00,1453.00,1163.00, -   , -   , -   , -   , -   , -   ,6136.00,CW,City Wide,Service Improvement and Enhancement 
Chief Information Security Office,Corporate Planning & Management,Forensics, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Chief Information Security Office,Corporate Planning & Management,Infrastructure - Vulnerability Scanning ,-920.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-920.00,CW,City Wide,Service Improvement and Enhancement 
Chief Information Security Office,Corporate Planning & Management,MSSP,-499.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-499.00,CW,City Wide,Service Improvement and Enhancement 
Children's Services, TCS Growing Child Care for Toronto,TCS Growing Child Care for Toronto,500.00,900.00,58.00, -   , -   , -   , -   , -   , -   , -   ,1458.00,CW,City Wide,Growth Related 
Children's Services, TELCCS - State Of Good Repair,TELCCS - State Of Good Repair, -   ,1496.00,1496.00,1496.00,1496.00,1496.00,1496.00,1496.00,1496.00,1496.00,13464.00,CW,City Wide,State of Good Repair 
Children's Services, TELCCS - State Of Good Repair,TELCCS - STATE OF GOOD REPAIR 2022 ,1540.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1540.00,CW,City Wide,State of Good Repair 
Children's Services,3393 Keele Street Child Care Centre,3393 Keele Street Child care Centre , -   , -   ,200.00,600.00,1000.00,2000.00,2000.00,1160.00, -   , -   ,6960.00,6,York Centre ,Service Improvement and Enhancement 
Children's Services,Alexandra Park Child Care Centre,Alexandra Park Child Care Centre,1000.00,1000.00,271.00, -   , -   , -   , -   , -   , -   , -   ,2271.00,10,Spadina-Fort York,Service Improvement and Enhancement 
Children's Services,Anishnawbe Miziwe Biik Child Care Centre,Anishnawbe Miziwe Biik Child Care Centre, -   ,1800.00,4614.00, -   , -   , -   , -   , -   , -   , -   ,6414.00,13,Toronto Centre,Service Improvement and Enhancement 
Children's Services,Bayside Child Care Centre,Bayside Child Care Centre , -   ,550.00, -   , -   , -   , -   , -   , -   , -   , -   ,550.00,10,Spadina-Fort York,Service Improvement and Enhancement 
Children's Services,Bridletown Community Centre (Child Care Centre 6),Bridletown Community Centre (Child Care Centre 6), -   ,350.00,700.00,1400.00,1450.00, -   , -   , -   , -   , -   ,3900.00,22,Scarborough-Agincourt,Service Improvement and Enhancement 
Children's Services,David and Mary Thomson (Child Care Centre 7),David and Mary Thomson (Child Care Centre 7), -   ,1300.00,1250.00,1250.00,1150.00, -   , -   , -   , -   , -   ,4950.00,21,Scarborough Centre,Service Improvement and Enhancement 
Children's Services,EarlyON 150 Queens Wharf Road ,EarlyON 150 Queen Wharf Road , -   , -   ,200.00,500.00,1000.00,529.00, -   , -   , -   , -   ,2229.00,10,Spadina-Fort York,Service Improvement and Enhancement 
Children's Services,Gilder/Gilder Child Care Centre,Gilder/Gilder Satellite Child Care Centre, -   ,821.00, -   , -   , -   , -   , -   , -   , -   , -   ,821.00,21,Scarborough Centre,Service Improvement and Enhancement 
Children's Services,Lawrence Heights Community Day Care Centre (#14),Child Care Ctr #14 - Lawrence Heights Community, -   , -   ,200.00,600.00,1000.00,2000.00,2000.00,1160.00, -   , -   ,6960.00,8,Eglinton-Lawrence,Service Improvement and Enhancement 
Children's Services,Mount Dennis Child Care Centre, Mount Dennis Additional Funding 2020, -   , -   ,1830.00, -   , -   , -   , -   , -   , -   , -   ,1830.00,5,York South-Weston ,Service Improvement and Enhancement 
Children's Services,Mount Dennis Child Care Centre,Mount Dennis Child Care Centre,469.00,6000.00,1396.00, -   , -   , -   , -   , -   , -   , -   ,7865.00,5,York South-Weston ,Service Improvement and Enhancement 
Children's Services,North East Scarborough Recreation Centre,North East Scarborough RC Add'L Funding, -   , -   ,1500.00, -   , -   , -   , -   , -   , -   , -   ,1500.00,25,Scarborough-Rouge Park,Service Improvement and Enhancement 
Children's Services,North East Scarborough Recreation Centre,North East Scarborough RC Net Zero, -   , -   ,800.00, -   , -   , -   , -   , -   , -   , -   ,800.00,25,Scarborough-Rouge Park,Service Improvement and Enhancement 
Children's Services,North East Scarborough Recreation Centre,North East Scarborough Recreation Centre,1000.00,2250.00,1389.00, -   , -   , -   , -   , -   , -   , -   ,4639.00,25,Scarborough-Rouge Park,Service Improvement and Enhancement 
Children's Services,St. Barnabas Catholic School,St. Barnabas Catholic School,756.00,521.00, -   , -   , -   , -   , -   , -   , -   , -   ,1277.00,23,Scarborough-North,Service Improvement and Enhancement 
Children's Services,St. Bartholomew Catholic School,St Bartholomew Additional Funding 2020 , -   , -   ,800.00, -   , -   , -   , -   , -   , -   , -   ,800.00,23,Scarborough-North,Service Improvement and Enhancement 
Children's Services,St. Bartholomew Catholic School,St. Bartholomew Catholic School, -   ,1333.00,400.00, -   , -   , -   , -   , -   , -   , -   ,1733.00,23,Scarborough-North,Service Improvement and Enhancement 
Children's Services,Stanley Public School,Stanley Public School,652.00,200.00, -   , -   , -   , -   , -   , -   , -   , -   ,852.00,7,Humber River-Black Creek,Service Improvement and Enhancement 
Children's Services,TCH Needle Firway,TCH Needle Firway, -   ,2000.00,2825.00, -   , -   , -   , -   , -   , -   , -   ,4825.00,7,Humber River-Black Creek,Service Improvement and Enhancement 
Children's Services,TELCCS - Playground Retrofit,TELCCS - Playground Retrofit 2022 ,1550.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1550.00,CW,City Wide,State of Good Repair 
Children's Services,TELCCS - Playground Retrofit,TELCCS Playground Retrofit, -   ,1270.00,300.00, -   , -   , -   , -   , -   , -   , -   ,1570.00,CW,City Wide,State of Good Repair 
Children's Services,Wallace Emerson Child Care Centre,Wallace Emerson Child Care Centre, -   ,1607.00,4733.00,1100.00, -   , -   , -   , -   , -   , -   ,7440.00,9,Davenport,Service Improvement and Enhancement 
Children's Services,Western North York Child Care,Western North York Child Care, -   ,713.00,2400.00,1677.00, -   , -   , -   , -   , -   , -   ,4790.00,7,Humber River-Black Creek,Service Improvement and Enhancement 
Children's Services,Willowridge Child Care Centre,Willowridge Child Care Centre ,150.00,1000.00,345.00, -   , -   , -   , -   , -   , -   , -   ,1495.00,1,Etobicoke North,Service Improvement and Enhancement 
Children's Services,Woodbine Child Care Centre,Woodbine Child Care Centre, -   ,1000.00,2600.00,1000.00,225.00, -   , -   , -   , -   , -   ,4825.00,1,Etobicoke North,Service Improvement and Enhancement 
City Clerk's Office, City Clerk's Office Health & Safety Remediation,City Clerk`s Health & Safety Remediation-SOGR 2025, -   , -   , -   ,100.00,230.00, -   , -   , -   , -   , -   ,330.00,CW,City Wide,Health and Safety 
City Clerk's Office, City Clerk's Office Health & Safety Remediation,City Clerk's Health & Safety Remediation-SOGR 2031, -   , -   , -   , -   , -   , -   , -   , -   , -   ,150.00,150.00,CW,City Wide,Health and Safety 
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Archives Equipment Upgrade - SOGR 2022-2025,75.00,75.00,75.00,50.00, -   , -   , -   , -   , -   , -   ,275.00,CW,City Wide,State of Good Repair 
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Archives Equipment Upgrade - SOGR 2027-2030, -   , -   , -   , -   , -   ,75.00,50.00,75.00,50.00, -   ,250.00,CW,City Wide,State of Good Repair 
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Image Library Migration to Managed Cloud SAAS ,210.00,415.00, -   , -   , -   , -   , -   , -   , -   , -   ,625.00,CW,City Wide,Legislated 
City Clerk's Office,Archives Strategic Plan Implementation SOGR,Records Centre Services SOGR (scope change),200.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,200.00,CW,City Wide,State of Good Repair 
City Clerk's Office,City Clerk's Office Business Systems, City Clerk's Bus. Sys-Legisl. Compliance phase 1 ,130.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,130.00,CW,City Wide,Legislated 
City Clerk's Office,City Clerk's Office Business Systems, City Clerk's Bus. Sys-Legisl. Compliance phase 2 ,270.00,570.00, -   , -   , -   , -   , -   , -   , -   , -   ,840.00,CW,City Wide,Legislated 
City Clerk's Office,City Clerk's Office Business Systems,City Clerk`s Business Systems 2023-2024, -   ,400.00,650.00, -   , -   , -   , -   , -   , -   , -   ,1050.00,CW,City Wide,Legislated 
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Bus.Sys-Legislative Compliance 2026, -   , -   , -   , -   ,250.00, -   , -   , -   , -   , -   ,250.00,CW,City Wide,Legislated 
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Bus.Sys-Legislative Compliance 2030 , -   , -   , -   , -   , -   , -   , -   , -   ,400.00,500.00,900.00,CW,City Wide,Legislated 
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Business Systems 2025-2027 , -   , -   , -   ,200.00,350.00,500.00, -   , -   , -   , -   ,1050.00,CW,City Wide,Legislated 
City Clerk's Office,City Clerk's Office Business Systems,City Clerk's Business Systems 2028-2029, -   , -   , -   , -   , -   , -   ,325.00,500.00, -   , -   ,825.00,CW,City Wide,Legislated 
