Ward Number,Year,Program/Agency Name,Budget Item,Capital Investment
Ward 1,2022,Infrastructure,Infrastructure Investment,401192.57
Ward 2,2022,Infrastructure,Infrastructure Investment,299116.23
Ward 3,2022,Infrastructure,Infrastructure Investment,NA
Ward 4,2022,Infrastructure,Infrastructure Investment,356255.28
Ward 5,2022,Infrastructure,Infrastructure Investment,219017.37
Ward 6,2022,Infrastructure,Infrastructure Investment,204541.32
Ward 7,2022,Infrastructure,Infrastructure Investment,187380.37
Ward 8,2022,Infrastructure,Infrastructure Investment,56603.19
Ward 9,2022,Infrastructure,Infrastructure Investment,106001.45
Ward 10,2022,Infrastructure,Infrastructure Investment,233554.91
Ward 11,2022,Infrastructure,Infrastructure Investment,434145
Ward 12,2022,Infrastructure,Infrastructure Investment,383825.82
Ward 13,2022,Infrastructure,Infrastructure Investment,150597.92
Ward 14,2022,Infrastructure,Infrastructure Investment,486751.95
Ward 15,2022,Infrastructure,Infrastructure Investment,372926.58
Ward 16,2022,Infrastructure,Infrastructure Investment,421076.07
Ward 17,2022,Infrastructure,Infrastructure Investment,231915.6
Ward 18,2022,Infrastructure,Infrastructure Investment,NA
Ward 19,2022,Infrastructure,Infrastructure Investment,477105.28
Ward 20,2022,Infrastructure,Infrastructure Investment,287474.95
Ward 21,2022,Infrastructure,Infrastructure Investment,237897.85
Ward 22,2022,Infrastructure,Infrastructure Investment,400569.4
Ward 23,2022,Infrastructure,Infrastructure Investment,135253.6
Ward 24,2022,Infrastructure,Infrastructure Investment,254273.36
Ward 25,2022,Infrastructure,Infrastructure Investment,177585.97
CW,2022,Infrastructure,Infrastructure Investment,60498.89
Ward 1,2023,Infrastructure,Infrastructure Investment,272786.86
Ward 2,2023,Infrastructure,Infrastructure Investment,74992.05
Ward 3,2023,Infrastructure,Infrastructure Investment,84118.35
Ward 4,2023,Infrastructure,Infrastructure Investment,309561.57
Ward 5,2023,Infrastructure,Infrastructure Investment,123073.61
Ward 6,2023,Infrastructure,Infrastructure Investment,372729.42
Ward 7,2023,Infrastructure,Infrastructure Investment,304251.38
Ward 8,2023,Infrastructure,Infrastructure Investment,424192.56
Ward 9,2023,Infrastructure,Infrastructure Investment,453277.33
Ward 10,2023,Infrastructure,Infrastructure Investment,326516.1
Ward 11,2023,Infrastructure,Infrastructure Investment,443696.95
