Ward Number,Year,Demographic,Value
Ward1,2011,Poulation,NA
Ward2,2011,Poulation,NA
Ward3,2011,Poulation,NA
Ward4,2011,Poulation,NA
Ward5,2011,Poulation,NA
Ward6,2011,Poulation,NA
Ward7,2011,Poulation,NA
Ward8,2011,Poulation,NA
Ward9,2011,Poulation,NA
Ward10,2011,Poulation,NA
Ward11,2011,Poulation,NA
Ward12,2011,Poulation,NA
Ward13,2011,Poulation,NA
Ward14,2011,Poulation,NA
Ward15,2011,Poulation,NA
Ward16,2011,Poulation,NA
Ward17,2011,Poulation,NA
Ward18,2011,Poulation,NA
Ward19,2011,Poulation,NA
Ward20,2011,Poulation,NA
Ward21,2011,Poulation,NA
Ward22,2011,Poulation,NA
Ward23,2011,Poulation,NA
Ward24,2011,Poulation,NA
Ward25,2011,Poulation,NA
Ward1,2012,Poulation,NA
Ward2,2012,Poulation,NA
Ward3,2012,Poulation,NA
Ward4,2012,Poulation,NA
Ward5,2012,Poulation,NA
Ward6,2012,Poulation,NA
Ward7,2012,Poulation,NA
Ward8,2012,Poulation,NA
Ward9,2012,Poulation,NA
Ward10,2012,Poulation,NA
Ward11,2012,Poulation,NA
Ward12,2012,Poulation,NA
Ward13,2012,Poulation,NA
Ward14,2012,Poulation,NA
Ward15,2012,Poulation,NA
Ward16,2012,Poulation,NA
Ward17,2012,Poulation,NA
Ward18,2012,Poulation,NA
Ward19,2012,Poulation,NA
Ward20,2012,Poulation,NA
Ward21,2012,Poulation,NA
Ward22,2012,Poulation,NA
Ward23,2012,Poulation,NA
Ward24,2012,Poulation,NA
Ward25,2012,Poulation,NA
Ward1,2013,Poulation,NA
Ward2,2013,Poulation,NA
Ward3,2013,Poulation,NA
Ward4,2013,Poulation,NA
Ward5,2013,Poulation,NA
Ward6,2013,Poulation,NA
Ward7,2013,Poulation,NA
Ward8,2013,Poulation,NA
Ward9,2013,Poulation,NA
Ward10,2013,Poulation,NA
Ward11,2013,Poulation,NA
Ward12,2013,Poulation,NA
Ward13,2013,Poulation,NA
Ward14,2013,Poulation,NA
Ward15,2013,Poulation,NA
Ward16,2013,Poulation,NA
Ward17,2013,Poulation,NA
Ward18,2013,Poulation,NA
Ward19,2013,Poulation,NA
Ward20,2013,Poulation,NA
Ward21,2013,Poulation,NA
Ward22,2013,Poulation,NA
Ward23,2013,Poulation,NA
Ward24,2013,Poulation,NA
Ward25,2013,Poulation,NA
Ward1,2014,Poulation,NA
Ward2,2014,Poulation,NA
Ward3,2014,Poulation,NA
Ward4,2014,Poulation,NA
Ward5,2014,Poulation,NA
Ward6,2014,Poulation,NA
Ward7,2014,Poulation,NA
Ward8,2014,Poulation,NA
Ward9,2014,Poulation,NA
Ward10,2014,Poulation,NA
Ward11,2014,Poulation,NA
Ward12,2014,Poulation,NA
Ward13,2014,Poulation,NA
Ward14,2014,Poulation,NA
Ward15,2014,Poulation,NA
Ward16,2014,Poulation,NA
Ward17,2014,Poulation,NA
Ward18,2014,Poulation,NA
Ward19,2014,Poulation,NA
Ward20,2014,Poulation,NA
Ward21,2014,Poulation,NA
Ward22,2014,Poulation,NA
Ward23,2014,Poulation,NA
Ward24,2014,Poulation,NA
Ward25,2014,Poulation,NA
Ward1,2015,Poulation,NA
Ward2,2015,Poulation,NA
Ward3,2015,Poulation,NA
Ward4,2015,Poulation,NA
Ward5,2015,Poulation,NA
Ward6,2015,Poulation,NA
Ward7,2015,Poulation,NA
Ward8,2015,Poulation,NA
Ward9,2015,Poulation,NA
Ward10,2015,Poulation,NA
Ward11,2015,Poulation,NA
Ward12,2015,Poulation,NA
Ward13,2015,Poulation,NA
Ward14,2015,Poulation,NA
Ward15,2015,Poulation,NA
Ward16,2015,Poulation,NA
Ward17,2015,Poulation,NA
Ward18,2015,Poulation,NA
Ward19,2015,Poulation,NA
Ward20,2015,Poulation,NA
Ward21,2015,Poulation,NA
Ward22,2015,Poulation,NA
Ward23,2015,Poulation,NA
Ward24,2015,Poulation,NA
Ward25,2015,Poulation,NA
Ward1,2016,Poulation,NA
Ward2,2016,Poulation,NA
Ward3,2016,Poulation,NA
Ward4,2016,Poulation,NA
Ward5,2016,Poulation,NA
Ward6,2016,Poulation,NA
Ward7,2016,Poulation,NA
Ward8,2016,Poulation,NA
Ward9,2016,Poulation,NA
Ward10,2016,Poulation,NA
Ward11,2016,Poulation,NA
Ward12,2016,Poulation,NA
Ward13,2016,Poulation,NA
Ward14,2016,Poulation,NA
Ward15,2016,Poulation,NA
Ward16,2016,Poulation,NA
Ward17,2016,Poulation,NA
Ward18,2016,Poulation,NA
Ward19,2016,Poulation,NA
Ward20,2016,Poulation,NA
Ward21,2016,Poulation,NA
Ward22,2016,Poulation,NA
Ward23,2016,Poulation,NA
Ward24,2016,Poulation,NA
Ward25,2016,Poulation,NA
Ward1,2017,Poulation,NA
Ward2,2017,Poulation,NA
Ward3,2017,Poulation,NA
Ward4,2017,Poulation,NA
Ward5,2017,Poulation,NA
Ward6,2017,Poulation,NA
Ward7,2017,Poulation,NA
Ward8,2017,Poulation,NA
Ward9,2017,Poulation,NA
Ward10,2017,Poulation,NA
Ward11,2017,Poulation,NA
Ward12,2017,Poulation,NA
Ward13,2017,Poulation,NA
Ward14,2017,Poulation,NA
Ward15,2017,Poulation,NA
Ward16,2017,Poulation,NA
Ward17,2017,Poulation,NA
Ward18,2017,Poulation,NA
Ward19,2017,Poulation,NA
Ward20,2017,Poulation,NA
Ward21,2017,Poulation,NA
Ward22,2017,Poulation,NA
Ward23,2017,Poulation,NA
Ward24,2017,Poulation,NA
Ward25,2017,Poulation,NA
Ward1,2018,Poulation,NA
Ward2,2018,Poulation,NA
Ward3,2018,Poulation,NA
Ward4,2018,Poulation,NA
Ward5,2018,Poulation,NA
Ward6,2018,Poulation,NA
Ward7,2018,Poulation,NA
Ward8,2018,Poulation,NA
Ward9,2018,Poulation,NA
Ward10,2018,Poulation,NA
Ward11,2018,Poulation,NA
Ward12,2018,Poulation,NA
Ward13,2018,Poulation,NA
Ward14,2018,Poulation,NA
Ward15,2018,Poulation,NA
Ward16,2018,Poulation,NA
Ward17,2018,Poulation,NA
Ward18,2018,Poulation,NA
Ward19,2018,Poulation,NA
Ward20,2018,Poulation,NA
Ward21,2018,Poulation,NA
Ward22,2018,Poulation,NA
Ward23,2018,Poulation,NA
Ward24,2018,Poulation,NA
Ward25,2018,Poulation,NA
Ward1,2019,Poulation,NA
Ward2,2019,Poulation,NA
Ward3,2019,Poulation,NA
Ward4,2019,Poulation,NA
Ward5,2019,Poulation,NA
Ward6,2019,Poulation,NA
Ward7,2019,Poulation,NA
Ward8,2019,Poulation,NA
Ward9,2019,Poulation,NA
Ward10,2019,Poulation,NA
